annot	simulation	TYPE(seed)	h2(se)	z_h2	h2_nim(se)	z_nim	h2_mh(se)	z_mh	h2_nim - sim_nim_h2(se)	Z_nim
expanded.anc.maf.ld	wgSIM_0.2.	RARE(2)	0.2090 (0.0058)	1.55	0.0000 (0.0014)	0.03	0.0061 (0.0006)	11.00	0.0012 (0.0017)	0.74
expanded.anc.maf.ld	wgSIM_0.2.	RARE(3)	0.1999 (0.0060)	-0.02	0.0005 (0.0012)	0.44	0.0071 (0.0006)	12.55	-0.0000 (0.0014)	-0.02
expanded.anc.maf.ld	wgSIM_0.2.	HIGH(1)	0.2094 (0.0050)	1.89	0.0001 (0.0015)	0.04	0.0072 (0.0007)	9.91	-0.0019 (0.0018)	-1.05
expanded.anc.maf.ld	wgSIM_0.2.	HIGH(2)	0.1972 (0.0055)	-0.51	0.0000 (0.0014)	0.04	0.0072 (0.0006)	11.31	-0.0001 (0.0015)	-0.04
expanded.anc.maf.ld	wgSIM_0.2.	HIGH(3)	0.1899 (0.0058)	-1.74	-0.0004 (0.0012)	-0.34	0.0075 (0.0010)	7.53	-0.0010 (0.0016)	-0.65
expanded.anc.maf.ld	wgSIM_0.2.	LOW(1)	0.2017 (0.0079)	0.21	0.0002 (0.0007)	0.34	0.0011 (0.0003)	3.85	0.0002 (0.0008)	0.31
expanded.anc.maf.ld	wgSIM_0.2.	LOW(2)	0.2071 (0.0078)	0.92	0.0007 (0.0005)	1.54	0.0008 (0.0001)	5.92	0.0004 (0.0005)	0.84
expanded.anc.maf.ld	wgSIM_0.2.	LOW(3)	0.2155 (0.0072)	2.14	0.0000 (0.0006)	0.01	0.0009 (0.0003)	3.17	0.0003 (0.0007)	0.49
expanded.anc.maf.ld	wgSIM100000_0.5.	POLY(1)	0.4902 (0.0070)	-1.39	-0.0024 (0.0015)	-1.62	0.0153 (0.0011)	13.48	-0.0025 (0.0019)	-1.34
expanded.anc.maf.ld	wgSIM100000_0.5.	POLY(2)	0.5075 (0.0073)	1.03	-0.0006 (0.0017)	-0.37	0.0147 (0.0008)	17.60	-0.0001 (0.0019)	-0.03
expanded.anc.maf.ld	wgSIM100000_0.5.	POLY(3)	0.5098 (0.0212)	0.46	0.0015 (0.0018)	0.84	0.0185 (0.0035)	5.24	-0.0027 (0.0029)	-0.91
expanded.anc.maf.ld	wgSIM100000_0.5.	COMMON(1)	0.4726 (0.0092)	-2.97	-0.0023 (0.0018)	-1.30	0.0093 (0.0007)	12.81	-0.0007 (0.0016)	-0.45
expanded.anc.maf.ld	wgSIM100000_0.5.	COMMON(2)	0.4992 (0.0092)	-0.09	0.0004 (0.0019)	0.20	0.0114 (0.0009)	12.46	-0.0002 (0.0022)	-0.07
expanded.anc.maf.ld	wgSIM100000_0.5.	COMMON(3)	0.5283 (0.0101)	2.80	0.0008 (0.0017)	0.48	0.0123 (0.0009)	14.12	-0.0015 (0.0020)	-0.75
expanded.anc.maf.ld	wgSIM100000_0.5.	RARE(1)	0.5056 (0.0079)	0.70	0.0017 (0.0027)	0.63	0.0174 (0.0013)	13.13	0.0025 (0.0030)	0.83
expanded.anc.maf.ld	wgSIM100000_0.5.	RARE(2)	0.4942 (0.0060)	-0.97	0.0025 (0.0026)	0.97	0.0192 (0.0015)	12.38	0.0008 (0.0033)	0.23
expanded.anc.maf.ld	wgSIM100000_0.5.	RARE(3)	0.4861 (0.0062)	-2.26	-0.0017 (0.0015)	-1.15	0.0167 (0.0012)	14.02	-0.0002 (0.0018)	-0.13
expanded.anc.maf.ld	wgSIM100000_0.5.	HIGH(1)	0.4842 (0.0074)	-2.13	-0.0007 (0.0016)	-0.46	0.0153 (0.0007)	20.45	0.0019 (0.0018)	1.04
expanded.anc.maf.ld	wgSIM100000_0.5.	HIGH(2)	0.4827 (0.0076)	-2.26	-0.0016 (0.0016)	-0.98	0.0160 (0.0011)	14.58	-0.0003 (0.0020)	-0.14
expanded.anc.maf.ld	wgSIM100000_0.5.	HIGH(3)	0.5220 (0.0082)	2.68	0.0018 (0.0031)	0.59	0.0197 (0.0023)	8.51	-0.0011 (0.0043)	-0.25
expanded.anc.maf.ld	wgSIM100000_0.5.	LOW(1)	0.4988 (0.0160)	-0.07	-0.0002 (0.0006)	-0.28	0.0021 (0.0002)	8.56	-0.0003 (0.0006)	-0.42
expanded.anc.maf.ld	wgSIM100000_0.5.	LOW(2)	0.4874 (0.0151)	-0.83	-0.0001 (0.0005)	-0.23	0.0018 (0.0002)	7.71	0.0001 (0.0006)	0.11
expanded.anc.maf.ld	wgSIM100000_0.5.	LOW(3)	0.5049 (0.0149)	0.33	-0.0005 (0.0006)	-0.86	0.0021 (0.0002)	8.40	-0.0006 (0.0006)	-0.89
expanded.anc.maf.ld	wgSIM100000_0.2.	POLY(1)	0.2098 (0.0056)	1.74	-0.0004 (0.0008)	-0.44	0.0069 (0.0007)	9.92	-0.0011 (0.0009)	-1.33
expanded.anc.maf.ld	wgSIM100000_0.2.	POLY(2)	0.1900 (0.0044)	-2.26	-0.0001 (0.0009)	-0.13	0.0062 (0.0005)	12.94	-0.0003 (0.0010)	-0.32
expanded.anc.maf.ld	wgSIM100000_0.2.	POLY(3)	0.2047 (0.0052)	0.90	-0.0018 (0.0006)	-2.75	0.0060 (0.0005)	12.18	-0.0018 (0.0008)	-2.14
expanded.anc.maf.ld	wgSIM100000_0.2.	COMMON(1)	0.2184 (0.0054)	3.38	-0.0017 (0.0008)	-2.27	0.0045 (0.0003)	16.40	-0.0015 (0.0008)	-1.81
expanded.anc.maf.ld	wgSIM100000_0.2.	COMMON(2)	0.2113 (0.0058)	1.95	-0.0007 (0.0008)	-0.85	0.0045 (0.0005)	8.13	-0.0006 (0.0008)	-0.74
expanded.anc.maf.ld	wgSIM100000_0.2.	COMMON(3)	0.2034 (0.0060)	0.57	0.0001 (0.0008)	0.11	0.0045 (0.0004)	10.96	-0.0001 (0.0008)	-0.16
expanded.anc.maf.ld	wgSIM100000_0.2.	RARE(1)	0.1973 (0.0050)	-0.53	0.0018 (0.0010)	1.81	0.0077 (0.0007)	11.18	0.0010 (0.0011)	0.90
expanded.anc.maf.ld	wgSIM100000_0.2.	RARE(2)	0.1951 (0.0044)	-1.11	-0.0015 (0.0007)	-2.16	0.0070 (0.0006)	11.76	-0.0016 (0.0010)	-1.62
expanded.anc.maf.ld	wgSIM100000_0.2.	RARE(3)	0.1898 (0.0049)	-2.10	0.0001 (0.0008)	0.07	0.0066 (0.0005)	13.28	0.0007 (0.0011)	0.70
expanded.anc.maf.ld	wgSIM100000_0.2.	HIGH(1)	0.1994 (0.0055)	-0.11	0.0002 (0.0008)	0.20	0.0066 (0.0005)	12.53	0.0006 (0.0010)	0.55
expanded.anc.maf.ld	wgSIM100000_0.2.	HIGH(2)	0.1876 (0.0054)	-2.30	0.0016 (0.0014)	1.15	0.0069 (0.0006)	11.60	0.0017 (0.0017)	1.01
expanded.anc.maf.ld	wgSIM100000_0.2.	HIGH(3)	0.1996 (0.0049)	-0.08	-0.0007 (0.0009)	-0.78	0.0068 (0.0005)	13.16	-0.0006 (0.0010)	-0.59
expanded.anc.maf.ld	wgSIM100000_0.2.	LOW(1)	0.1985 (0.0076)	-0.19	-0.0003 (0.0004)	-0.73	0.0006 (0.0001)	4.26	-0.0002 (0.0004)	-0.48
expanded.anc.maf.ld	wgSIM100000_0.2.	LOW(2)	0.1981 (0.0063)	-0.31	0.0005 (0.0004)	1.13	0.0008 (0.0002)	4.41	0.0006 (0.0005)	1.25
expanded.anc.maf.ld	wgSIM100000_0.2.	LOW(3)	0.1950 (0.0066)	-0.76	0.0000 (0.0004)	0.09	0.0007 (0.0002)	3.93	0.0002 (0.0005)	0.33
